GeneID,60mins,240mins,480mins,720mins,1440mins,2160mins,3600mins
AT5G44760,0.017,0.03,0.016,0.044,0,0,0
AT5G44770,0.224,0.124,0.096,0.128,0.124,0.014,0.014
AT5G44780,0.342,0.29,0.265,0.33,0.273,0.268,0.378
AT5G44785,6.387,6.236,5.474,5.309,5.422,3.728,3.86
AT5G44790,41.882,55.649,57.695,62.633,77.911,92.73,114.534
AT5G44800,15.933,18.355,16.603,17.028,22.578,19.206,20.396
AT5G44820,0.731,0.318,0.367,0.33,0.166,0.12,0.596
AT5G44830,0,0,0,0,0,0,0
AT5G44840,0,0,0,0,0,0,0
AT5G44850,0,0,0,0,0,0,0
AT5G06635,0,0,0,0,0.108,0,0
AT5G44860,22.232,18.892,18.758,20.12,21.058,24.553,25.446
AT5G44870,3.212,2.93,2.708,2.249,1.736,1.215,1.449
AT5G44875,0,0,0,0,0,0,0
AT5G44880,0,0,0,0,0,0,0
AT5G44890,0,0,0,0,0,0,0
AT5G06655,0,0,0,0.052,0,0.055,0
AT5G44900,0.347,0.334,0.078,0.192,0.044,0.118,0.144
AT5G44910,1.917,2.631,2.718,2.568,2.955,4.019,9.421
AT5G44920,10.588,13.002,15.942,17.732,21.335,23.969,22.538
AT5G44930,2.822,2.401,2.558,2.141,2.014,1.981,1.943
AT5G06665,0,0,0,0,0,0,0
AT5G44925,0,0.004,0.006,0.01,0.005,0,0
AT5G06675,0,0,0,0.08,0,0,0
AT5G44940,0,0.055,0,0.061,0,0.065,0.045
AT5G44950,0,0,0,0,0,0,0
AT5G44960,0,0,0,0,0,0,0
AT5G44970,0,0,0,0,0,0,0
AT5G44973,0,0,0.05,0,0,0,0
AT5G44980,0.41,0.511,0.458,0.275,0.428,0.582,0.541
AT5G44990,0.015,0.029,0,0.034,0,0,0.082
AT5G45000,0.112,0.332,0.312,0.238,0.177,0.175,0.289
AT5G45010,0,0,0,0.024,0,0,0.024
AT5G45020,5.776,6.465,6.774,5.53,4.92,4.493,3.94
AT5G06695,0,0,0,0,0,0,0
AT5G45030,0,0,0,0,0,0,0
AT5G45040,9.315,10.952,11.013,9.619,10.416,6.304,5.396
AT5G45050,7.068,6.906,6.476,5.724,6.462,6.389,7.052
AT5G45060,5.103,4.284,3.57,3.251,3.15,2.364,2.569
AT5G45070,1.85,0.957,0.994,1.405,0.902,1.228,0.888
AT5G45080,0.291,0.32,0.842,1.042,0.855,1.263,1.476
AT5G45082,0,0,0,0,0,0,0
AT5G45085,0,0,0,0,0,0,0
AT5G45090,0.106,0.127,0.284,0.238,0.124,0.156,0.236
AT5G45095,0.888,0.92,0.736,0.758,0.834,0.588,0.332
AT5G45100,19.828,17.626,14.454,15.361,12.361,11.91,10.718
AT5G45105,0,0,0,0,0,0,0
AT5G45110,15.259,13.194,14.034,13.416,11.655,10.808,13.309
AT5G45113,0.016,0.037,0.014,0.049,0,0.015,0.014
AT5G45116,0,0,0,0,0.006,0,0
AT5G45115,1.478,1.98,1.951,1.387,0.482,0.892,1.21
AT5G45120,0.066,0.122,0.064,0.07,0,0.016,0
AT5G45130,51.191,58.647,64.596,66.055,62.813,68.532,81.459
AT5G45140,3.731,3.663,3.177,2.783,2.941,2.277,2.817
AT5G45150,0.187,0.316,0.294,0.281,0.315,0.328,0.42
AT5G45160,8.773,10.407,9.972,9.662,11.23,12.037,14.331
AT5G45170,17.757,16.785,13.53,10.73,7.784,6.274,7.522
AT5G45180,0,0,0.018,0,0.019,0,0
AT5G45190,18.421,20.242,20.926,22.318,29.582,30.151,27.659
AT5G45200,0.081,0.035,0.071,0.073,0.036,0.054,0.039
AT5G45210,1.089,1.57,1.858,2.462,2.507,2.497,2.038
AT5G45220,0.762,0.728,0.665,0.66,0.326,0.586,0.618
AT5G45230,0,0,0,0.004,0,0,0
AT5G45240,0.432,0.302,0.292,0.216,0.128,0.184,0.106
AT5G45250,3.697,4.744,4.559,4.849,5.641,5.984,7.244
AT5G45260,3.939,4.06,3.962,3.712,4.026,3.997,4.222
AT5G06705,0,0,0,0,0,0,0.091
AT5G06715,0,0,0,0,0,0,0
AT5G45275,2.96,2.391,2.004,1.526,1.393,1.245,0.96
AT5G45276,0.104,0.078,0.22,0.148,0.177,0.014,0.128
AT5G45277,0,0,0,0,0,0,0
AT5G45280,51.642,40.329,52.505,54.659,44.392,34.944,30.84
AT5G45290,16.355,17.026,16.314,13.729,9.697,8.106,7.139
AT5G45300,8.127,8.398,7.1,6.028,4.986,4.3,4.645
AT5G45310,3.037,2.831,3.602,3.569,7.53,9.755,12.9
AT5G45320,0.589,0.672,0.701,0.956,0.424,0.313,0.375
AT5G45330,5.239,5.127,4.93,4.912,4.918,4.385,4.085
AT5G45340,15.112,9.872,9.77,8.7,9.044,6.592,5.927
AT5G45350,29.742,32.036,33.8,33.677,34.022,32.805,26.624
AT5G45360,25.072,30.242,32.91,34.98,42.371,49.757,56.549
AT5G45370,2.18,2.256,2.162,2.034,1.453,1.436,1.244
AT5G45380,3.477,3.473,3.349,3.822,3.152,4.167,5.135
AT5G45390,170.111,147.547,135.254,113.154,73.303,52.567,43.282
AT5G45400,2.204,1.94,1.714,1.603,1.264,0.962,1.07
AT5G45410,25.219,26.606,26.641,26.642,23.406,26.804,29.395
AT5G45420,14.659,12.313,12.032,11.785,9.335,8.852,7.748
AT5G45430,95.958,74.937,76.365,77.936,77.276,82.261,95.137
AT5G45440,1.149,1.334,1.184,0.972,0.676,0.8,0.554
AT5G45450,0.027,0,0.028,0.02,0.032,0.055,0
AT5G45455,0.991,0.913,1.261,0.698,0.68,0.233,0.316
AT5G45460,4.178,5.301,5.999,6.45,6.806,4.934,2.791
AT5G45472,0.007,0.016,0.014,0.005,0.003,0.004,0.004
AT5G45469,0,0,0,0,0,0,0
